Key,Class,Subclass,Spell,Spell level,Unlocks at char level,Paid or free,Cross AP,"Origin AP (-1, floor 1)",Discount saved
Sorcerer|Aberrant Sorcery,Sorcerer,Aberrant Sorcery,Summon Aberration,4th,7,free with bundle,0,0,0
Sorcerer|Aberrant Sorcery,Sorcerer,Aberrant Sorcery,Rary's Telepathic Bond,5th,9,free with bundle,0,0,0
Sorcerer|Aberrant Sorcery,Sorcerer,Aberrant Sorcery,Telekinesis,5th,9,free with bundle,0,0,0
Sorcerer|Clockwork Sorcery,Sorcerer,Clockwork Sorcery,Alarm,1st,3,PAID,1,1,0
Sorcerer|Clockwork Sorcery,Sorcerer,Clockwork Sorcery,Protection from Evil and Good,1st,3,PAID,1,1,0
Sorcerer|Clockwork Sorcery,Sorcerer,Clockwork Sorcery,Aid,2nd,3,PAID,1,1,0
Sorcerer|Clockwork Sorcery,Sorcerer,Clockwork Sorcery,Lesser Restoration,2nd,3,PAID,1,1,0
Sorcerer|Clockwork Sorcery,Sorcerer,Clockwork Sorcery,Dispel Magic,3rd,5,PAID,2,1,1
Sorcerer|Clockwork Sorcery,Sorcerer,Clockwork Sorcery,Protection from Energy,3rd,5,PAID,2,1,1
Sorcerer|Clockwork Sorcery,Sorcerer,Clockwork Sorcery,Freedom of Movement,4th,7,free with bundle,0,0,0
Sorcerer|Clockwork Sorcery,Sorcerer,Clockwork Sorcery,Summon Construct,4th,7,free with bundle,0,0,0
Sorcerer|Clockwork Sorcery,Sorcerer,Clockwork Sorcery,Greater Restoration,5th,9,free with bundle,0,0,0
Sorcerer|Clockwork Sorcery,Sorcerer,Clockwork Sorcery,Wall of Force,5th,9,free with bundle,0,0,0
Sorcerer|Draconic Sorcery,Sorcerer,Draconic Sorcery,Chromatic Orb,1st,3,PAID,1,1,0
Sorcerer|Draconic Sorcery,Sorcerer,Draconic Sorcery,Command,1st,3,PAID,1,1,0
Sorcerer|Draconic Sorcery,Sorcerer,Draconic Sorcery,Alter Self,2nd,3,PAID,1,1,0
Sorcerer|Draconic Sorcery,Sorcerer,Draconic Sorcery,Dragon's Breath,2nd,3,PAID,1,1,0
Sorcerer|Draconic Sorcery,Sorcerer,Draconic Sorcery,Fear,3rd,5,PAID,2,1,1
Sorcerer|Draconic Sorcery,Sorcerer,Draconic Sorcery,Fly,3rd,5,PAID,2,1,1
Sorcerer|Draconic Sorcery,Sorcerer,Draconic Sorcery,Arcane Eye,4th,7,free with bundle,0,0,0
Sorcerer|Draconic Sorcery,Sorcerer,Draconic Sorcery,Charm Monster,4th,7,free with bundle,0,0,0
Sorcerer|Draconic Sorcery,Sorcerer,Draconic Sorcery,Legend Lore,5th,9,free with bundle,0,0,0
Sorcerer|Draconic Sorcery,Sorcerer,Draconic Sorcery,Summon Dragon,5th,9,free with bundle,0,0,0
Warlock|Archfey Patron,Warlock,Archfey Patron,Faerie Fire,1st,3,PAID,1,1,0
Warlock|Archfey Patron,Warlock,Archfey Patron,Sleep,1st,3,PAID,1,1,0
Warlock|Archfey Patron,Warlock,Archfey Patron,Calm Emotions,2nd,3,PAID,1,1,0
Warlock|Archfey Patron,Warlock,Archfey Patron,Misty Step,2nd,3,PAID,1,1,0
Warlock|Archfey Patron,Warlock,Archfey Patron,Phantasmal Force,2nd,3,PAID,1,1,0
Warlock|Archfey Patron,Warlock,Archfey Patron,Blink,3rd,5,PAID,2,1,1
Warlock|Archfey Patron,Warlock,Archfey Patron,Plant Growth,3rd,5,PAID,2,1,1
Warlock|Archfey Patron,Warlock,Archfey Patron,Dominate Beast,4th,7,free with bundle,0,0,0
Warlock|Archfey Patron,Warlock,Archfey Patron,Greater Invisibility,4th,7,free with bundle,0,0,0
Warlock|Archfey Patron,Warlock,Archfey Patron,Dominate Person,5th,9,free with bundle,0,0,0
Warlock|Archfey Patron,Warlock,Archfey Patron,Seeming,5th,9,free with bundle,0,0,0
Warlock|Celestial Patron,Warlock,Celestial Patron,Light,cantrip,3,PAID,4,4,0
Warlock|Celestial Patron,Warlock,Celestial Patron,Sacred Flame,cantrip,3,PAID,4,4,0
Warlock|Celestial Patron,Warlock,Celestial Patron,Cure Wounds,1st,3,PAID,1,1,0
Warlock|Celestial Patron,Warlock,Celestial Patron,Guiding Bolt,1st,3,PAID,1,1,0
Warlock|Celestial Patron,Warlock,Celestial Patron,Aid,2nd,3,PAID,1,1,0
Warlock|Celestial Patron,Warlock,Celestial Patron,Lesser Restoration,2nd,3,PAID,1,1,0
Warlock|Celestial Patron,Warlock,Celestial Patron,Daylight,3rd,5,PAID,2,1,1
Warlock|Celestial Patron,Warlock,Celestial Patron,Revivify,3rd,5,PAID,2,1,1
Warlock|Celestial Patron,Warlock,Celestial Patron,Guardian of Faith,4th,7,free with bundle,0,0,0
Warlock|Celestial Patron,Warlock,Celestial Patron,Wall of Fire,4th,7,free with bundle,0,0,0
Warlock|Celestial Patron,Warlock,Celestial Patron,Greater Restoration,5th,9,free with bundle,0,0,0
Warlock|Celestial Patron,Warlock,Celestial Patron,Summon Celestial,5th,9,free with bundle,0,0,0
Warlock|Fiend Patron,Warlock,Fiend Patron,Burning Hands,1st,3,PAID,1,1,0
Warlock|Fiend Patron,Warlock,Fiend Patron,Command,1st,3,PAID,1,1,0
Warlock|Fiend Patron,Warlock,Fiend Patron,Scorching Ray,2nd,3,PAID,1,1,0
Warlock|Fiend Patron,Warlock,Fiend Patron,Suggestion,2nd,3,PAID,1,1,0
Warlock|Fiend Patron,Warlock,Fiend Patron,Fireball,3rd,5,PAID,2,1,1
Warlock|Fiend Patron,Warlock,Fiend Patron,Stinking Cloud,3rd,5,PAID,2,1,1
Warlock|Fiend Patron,Warlock,Fiend Patron,Fire Shield,4th,7,free with bundle,0,0,0
Warlock|Fiend Patron,Warlock,Fiend Patron,Wall of Fire,4th,7,free with bundle,0,0,0
Warlock|Fiend Patron,Warlock,Fiend Patron,Geas,5th,9,free with bundle,0,0,0
Warlock|Fiend Patron,Warlock,Fiend Patron,Insect Plague,5th,9,free with bundle,0,0,0
Warlock|Great Old One Patron,Warlock,Great Old One Patron,Dissonant Whispers,1st,3,PAID,1,1,0
Warlock|Great Old One Patron,Warlock,Great Old One Patron,Tasha's Hideous Laughter,1st,3,PAID,1,1,0
Warlock|Great Old One Patron,Warlock,Great Old One Patron,Detect Thoughts,2nd,3,PAID,1,1,0
Warlock|Great Old One Patron,Warlock,Great Old One Patron,Phantasmal Force,2nd,3,PAID,1,1,0
Warlock|Great Old One Patron,Warlock,Great Old One Patron,Clairvoyance,3rd,5,PAID,2,1,1
Warlock|Great Old One Patron,Warlock,Great Old One Patron,Hunger of Hadar,3rd,5,PAID,2,1,1
Warlock|Great Old One Patron,Warlock,Great Old One Patron,Confusion,4th,7,free with bundle,0,0,0
Warlock|Great Old One Patron,Warlock,Great Old One Patron,Summon Aberration,4th,7,free with bundle,0,0,0
Warlock|Great Old One Patron,Warlock,Great Old One Patron,Modify Memory,5th,9,free with bundle,0,0,0
Warlock|Great Old One Patron,Warlock,Great Old One Patron,Telekinesis,5th,9,free with bundle,0,0,0
